Month,StationDatapoints,FactoryDataPoints,PopsAverageWealth,FactoryAverageLevel,GrainDemand,GrainSupply,StarvingPops,BrokePops,UnemploymentRate,Real UnemploymentRate,NumberOfPeasants,PriceOfGrain
1,nan,1000,1000,2.17924,0,0,0,0,0.0995746,0.0995746,892055,10
2,nan,1000,1055.11,2.17924,892055,383149,0,0,0.0804811,0.0804811,892055,10
3,nan,1005.05,1076.26,2.17924,1.53166e+06,387077,0,0,0.0804811,0.0804811,892055,10
4,nan,999.293,1084.88,2.17924,2.145e+06,387077,0,0,0.0833014,0.0804811,892055,10
5,nan,999.779,1088.6,2.17924,2.19502e+06,387077,563782,0,0.0813088,0.0804811,892055,10
6,nan,996.851,1090.26,2.17924,2.14916e+06,387077,603981,0,0.0820396,0.0804811,892055,10.089
7,nan,992.924,1091.11,2.17924,2.16823e+06,387077,589522,0,0.0915016,0.0804811,892055,10.1782
8,nan,987.764,1091.6,2.17924,2.17055e+06,387077,589288,0,0.0858733,0.0804811,892055,10.2614
9,nan,982.227,1091.75,2.17924,2.19448e+06,387077,589026,0,0.0839504,0.0804811,892055,10.3545
10,nan,976.643,1091.92,2.17924,2.2003e+06,387077,599350,0,0.0841997,0.0804811,892055,10.4527
11,nan,972.249,1091.91,2.17924,2.15689e+06,387077,600209,0,0.0829592,0.0804811,892055,10.5494
12,nan,968.245,1091.83,2.17924,2.15663e+06,387077,591260,0,0.102933,0.0804811,892055,10.6527
13,nan,963.961,1091.7,2.17924,2.17646e+06,387077,590230,0,0.095742,0.0804811,892055,10.7034
14,nan,960.22,1091.74,2.17924,2.18727e+06,387077,590110,0,0.0894203,0.0804811,892055,10.8087
15,nan,955.993,1091.79,2.17924,2.18271e+06,387077,594514,0,0.0856754,0.0804811,892055,10.9133
16,nan,951.544,1091.91,2.17924,2.13688e+06,387077,597984,0,0.087238,0.0804811,892055,11.0074
17,nan,947.011,1091.71,2.17924,2.16623e+06,387077,588219,0,0.0979536,0.0804811,892055,11.0889
18,nan,942.647,1091.77,2.17924,2.16539e+06,387077,587907,0,0.0899461,0.0804811,892055,11.1678
19,nan,938.066,1091.67,2.17924,2.18932e+06,387077,587834,0,0.0865152,0.0804811,892055,11.2566
20,nan,934.067,1091.71,2.17924,2.19384e+06,387077,596856,0,0.0869796,0.0804811,892055,11.3511
21,nan,929.383,1091.83,2.17924,2.14697e+06,387077,598003,0,0.0847549,0.0804811,892055,11.4481
22,nan,925.048,1091.62,2.17924,2.15713e+06,387077,590980,0,0.111212,0.0804811,892055,11.5524
23,nan,921.092,1091.47,2.17924,2.17607e+06,387077,589952,0,0.101013,0.0804811,892055,11.6608
24,nan,916.898,1091.5,2.17924,2.18801e+06,387077,589928,0,0.093376,0.0804811,892055,11.7584
25,nan,912.255,1091.55,2.17924,2.18368e+06,387077,594388,0,0.0887339,0.0804811,892055,11.8558
26,nan,907.564,1091.7,2.17924,2.13811e+06,387077,598808,0,0.0897321,0.0804811,892055,11.9628
27,nan,902.746,1091.45,2.17924,2.16785e+06,387077,589014,0,0.100481,0.0804811,892055,12.0708
28,nan,898.123,1091.54,2.17924,2.16477e+06,387077,588458,0,0.091973,0.0804811,892055,12.1829
29,nan,893.24,1091.42,2.17924,2.18823e+06,387077,588168,0,0.0880838,0.0804811,892055,12.2944
30,nan,888.379,1091.45,2.17924,2.19211e+06,387077,596198,0,0.0877709,0.0804811,892055,12.4118
31,nan,883.234,1091.63,2.17924,2.14476e+06,387077,597764,0,0.0855119,0.0804811,892055,12.5302
32,nan,878.028,1091.36,2.17924,2.15708e+06,387077,591289,0,0.113187,0.0804811,892055,12.6512
33,nan,872.903,1091.25,2.17924,2.1744e+06,387077,589482,0,0.103338,0.0804811,892055,12.772
34,nan,868.268,1091.23,2.17924,2.18847e+06,387077,589473,0,0.0953564,0.0804811,892055,12.8848
35,nan,865.063,1091.33,2.17924,2.18246e+06,387077,593564,0,0.0895676,0.0804811,892055,12.9998
36,nan,860.646,1091.45,2.17924,2.13769e+06,387077,599246,0,0.0916702,0.0804811,892055,13.1225
37,nan,855.428,1091.22,2.17924,2.16627e+06,387077,588227,0,0.101969,0.0804811,892055,13.2388
38,nan,850.881,1091.3,2.17924,2.16517e+06,387077,587902,0,0.0936536,0.0804811,892055,13.3644
39,nan,846.001,1091.19,2.17924,2.18921e+06,387077,587842,0,0.0896564,0.0804811,892055,13.4845
40,nan,841.121,1091.18,2.17924,2.19425e+06,387077,597045,0,0.0890125,0.0804811,892055,13.6096
41,nan,836.369,1091.37,2.17924,2.14565e+06,387077,598221,0,0.0863982,0.0804811,892055,13.7346
42,nan,832.185,1091.15,2.17924,2.15687e+06,387077,590931,0,0.113774,0.0804811,892055,13.8642
43,nan,828.325,1090.95,2.17924,2.17726e+06,387077,590138,0,0.103765,0.0804811,892055,13.9875
44,nan,824.625,1090.93,2.17924,2.18956e+06,387077,590194,0,0.0956259,0.0804811,892055,14.1174
45,nan,820.722,1091.03,2.17924,2.18182e+06,387077,595234,0,0.0904044,0.0804811,892055,14.2453
